x,y,z_estimate
0,0.1,0.000139033
0.001,0.1,0.000131026
0.002,0.1,0.000123456
0.003,0.1,0.00011531
0.004,0.1,0.000106894
0.005,0.1,9.77148e-05
0.006,0.1,9.05421e-05
0.007,0.1,7.98551e-05
0.008,0.1,7.36681e-05
0.009,0.1,6.71181e-05
0.01,0.1,5.97919e-05
0.011,0.1,5.46187e-05
0.012,0.1,4.42601e-05
0.013,0.1,3.52336e-05
0.014,0.1,2.73926e-05
0.015,0.1,2.19131e-05
0.016,0.1,1.44407e-05
0.017,0.1,4.25241e-06
0.018,0.1,-8.39418e-07
0.019,0.1,-8.30618e-06
0.02,0.1,-1.4129e-05
0.021,0.1,-2.10629e-05
0.022,0.1,-3.1341e-05
0.023,0.1,-3.86762e-05
0.024,0.1,-4.5968e-05
0.025,0.1,-5.42758e-05
0.026,0.1,-6.27314e-05
0.027,0.1,-7.07985e-05
0.028,0.1,-8.25199e-05
0.029,0.1,-9.03048e-05
0.03,0.1,-0.000100033
0.031,0.1,-0.000108223
0.032,0.1,-0.000116792
0.033,0.1,-0.000128954
0.034,0.1,-0.000141416
0.035,0.1,-0.000148635
0.036,0.1,-0.000158128
0.037,0.1,-0.000169988
0.038,0.1,-0.000180617
0.039,0.1,-0.000190585
0.04,0.1,-0.00019805
0.041,0.1,-0.000210291
0.042,0.1,-0.000219692
0.043,0.1,-0.000229182
0.044,0.1,-0.00023934
0.045,0.1,-0.000247512
0.046,0.1,-0.00025777
0.047,0.1,-0.000271385
0.048,0.1,-0.000279844
0.049,0.1,-0.00028922
0.05,0.1,-0.00030118
0.051,0.1,-0.000310284
0.052,0.1,-0.000320822
0.053,0.1,-0.000332084
0.054,0.1,-0.000343098
0.055,0.1,-0.000358694
0.056,0.1,-0.000371361
0.057,0.1,-0.000381197
0.058,0.1,-0.000399302
0.059,0.1,-0.000409136
0.06,0.1,-0.000425623
0.061,0.1,-0.000441188
0.062,0.1,-0.000453093
0.063,0.1,-0.000469722
0.064,0.1,-0.000483443
0.065,0.1,-0.000494866
0.066,0.1,-0.000508728
0.067,0.1,-0.000522803
0.068,0.1,-0.000533473
0.069,0.1,-0.000547268
0.07,0.1,-0.000562085
0.071,0.1,-0.000575726
0.072,0.1,-0.000586905
0.073,0.1,-0.00060079
0.074,0.1,-0.000612781
0.075,0.1,-0.000626378
0.076,0.1,-0.000639792
0.077,0.1,-0.000652127
0.078,0.1,-0.000664964
0.079,0.1,-0.000673802
0.08,0.1,-0.000686229
0.081,0.1,-0.000698964
0.082,0.1,-0.000710313
0.083,0.1,-0.000724225
0.084,0.1,-0.000736068
0.085,0.1,-0.000748064
0.086,0.1,-0.000761001
0.087,0.1,-0.000771088
0.088,0.1,-0.000784922
0.089,0.1,-0.000798197
0.09,0.1,-0.000809167
0.091,0.1,-0.000819415
0.092,0.1,-0.000832996
0.093,0.1,-0.000843579
0.094,0.1,-0.0008578
0.095,0.1,-0.000867969
0.096,0.1,-0.000876599
0.097,0.1,-0.000889343
0.098,0.1,-0.000899682
0.099,0.1,-0.000909922
0.1,0.1,-0.000922709
0.101,0.1,-0.000934272
0.102,0.1,-0.000946075
0.103,0.1,-0.000957585
0.104,0.1,-0.000965983
0.105,0.1,-0.000976322
0.106,0.1,-0.000988308
0.107,0.1,-0.000998601
0.108,0.1,-0.001008
0.109,0.1,-0.00102077
